References,Qty,Description,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Digikey,Mouser,RS,Newark,Farnell
"C1, C2, C3, C91, C92",5,10n/200V,,885342207005,,311-4491-1-ND,,CC1206KRX7RABB103,,VJ1206Y103KXCTW1BC,,,,,
"C10, C25, C26",3,2u2,,1276-2723-1-ND,,UMK316B7225KLHT,,CL31B225KBHNNNE,,,,,,,
C11,1,1n,,VJ0805A102JXACW1BC,,732-7858-1-ND,,GRM2195C1H102JA01D,,CL21C102JBCNNNC,,,,,
C12,1,15p,,MC0805N150J101CT,,1276-1163-1-ND,,C0805C150J5GACTU,,CL21C150JBANNNC,,,,,
"C13, C14, C17",3,10u,,GRT31CR61H106KE01L,,1276-6736-1-ND,,UMK316BBJ106KL-T,,CL31A106KBHNNNE,,,,,
C15,1,EEEFK1J101P,,EEEFK1J101P,,PCE3819CT-ND,,EEEFK1J101P,,EEEFK1J101P,,,,,
"C18, C53, C56, C69, C70, C79, C81",7,1u,,VJ0805Y105KXXTW1BC,,587-1283-1-ND,,C0805C105K4RACTU,,CL21B105KOFNNNE,,,,,
"C19, C21, C31, C36, C49, C54, C88, C93",8,10n,,VJ0805Y103JXXPW1BC,,490-7194-1-ND,,08055C103KAT2A,,CC0805KRX7R9103,,,,,
C20,1,150p,,0805N151J500CT,,1276-1828-1-ND,,C0805C151J5GACTU,,CC0805JRNPO9BN151,,,,,
C22,1,470p,,MC0805N471J500CT,,732-7837-1-ND,,0805CG471J9BB,,CC0805JRNPO9BN471,,,,,
"C23, C24, C30, C66",4,4u7,,C3216X7R1E475K160AC,,1276-2970-1-ND,,C1206C475K3RACTU,,GCM31CR71E475KA55L,,,,,
C28,1,330p,,C0805C331J5GACTU,,1276-1189-1-ND,,0805N331J500CT,,CL21C331JBANNNC,,,,,
C29,1,22u,,MC1210X226K250CT,,1276-3373-1-ND,,CL32A226KAJNNNE,,CL32A226KAJNNNE,,,,,
"C32, C45, C61",3,33p,,MC0805N330J500CT,,1276-1105-1-ND,,C0805C330J5GACTU,,CL21C330JBANNNC,,,,,
"C4, C16",2,EEEFK1H470P,,EEEFK1H470P,,PCE3815CT-ND,,EEEFK1H470P,,EEEFK1H470P,,,,,
"C43, C47",2,100p,,C0805C101JAGACTU,,399-15000-1-ND,,CC0805JRNP09BN101,,CL21C101JBANNNC,,,,,
"C5, C6, C7",3,4u7/100V,,CGA6M3X7S2A475K200AB,,587-5034-1-ND,,-,,,,,,,
"C55, C74, C75, C76, C77, C84, C86",7,4n7,,GRM2165C1H472JA01D,,732-12255-1-ND,,C2012C0G1H472J060AA,,GRM2165C1H472JA01D,,,,,
C62,1,6n8,,MC0805B682K500CT,,1276-1799-1-ND,,GRM2195C1H682JA01D,,CL21B682KBANNNC,,,,,
C68,1,4u7 tant.,,T491A475K006AT,,399-9717-1-ND,,T491A475K006AT,,T491A475K006AT,,,,,
"C7A, C9, C89",3,470n,,MC0805F474Z500CT,,1276-6482-1-ND,,0805CG471J9BB,,CL21B474KBFNNNE,,,,,
"C8, C27, C33, C34, C35, C37, C38, C39, C40, C41, C42, C44, C48, C50, C51, C52, C57, C58, C59, C60, C64, C65, C67, C71, C72, C73, C78, C80, C82, C83, C85, C87",32,100n,,C0603C104K4RAC7081,,490-4774-1-ND,,VJ0603Y104KXJAT,,CL10B104KA8NNNC,,,,,
C90,1,HHXC630A330MHA0,,-,,-,,,,,,,,,
"D1, D3, D10, D11, D12, D13, D15, D17, D18, D19",10,BAS316,,"BAS316,115",,1727-7370-1-ND,,"BAS316,115",,"BAS316,115",,,,,
D14,1,SK55,,SBRT5A50SA-13,,SK56A-LTPMSCT-ND,,SK56B R4,,SK55-DIO,,,,,
"D2, D4, D5",3,SKL16,,RB160MM-60TR,,RB160MM-60CT-ND,,RB160MM-60TR,,SKL16-DIO,,,,,
"D6, D7, D9",3,SKL14,,PMEG4010EGWX,,1727-7335-1-ND,,PMEG4010EGWX,,SKL14-DIO,,,,,
"F1, F2",2,ZH32,,-,,ZH32,,,,,,,,,
"FB1, FB2, FB3",3,BLM18AG102SH1D,,BLM18AG102SN1D,,490-7809-1-ND,,BLM18AG102SH1D,,BLM18AG102SH1D,,,,,
IC1,1,LM5145RGYT,,LM5145RGYT,,296-47121-1-ND,,-,,,,,,,
IC11,1,LTC2050HVCS8#PBF,,LTC2050HVCS8#PBF-ND,,LTC2050HVCS8#PBF,,-,,,,,,,
"IC12, IC18",2,SN74LVC1G3157DCKR,,SN74LVC1G3157DCKR,,296-14909-1-ND,,SN74LVC1G3157DCKR,,SN74LVC1G3157DCKR,,,,,
IC13,1,74AUP1G74DC.125,,"74AUP1G74DC,125",,1727-6029-1-ND,,"74AUP1G74DC,125",,74AUP1G74DC.125,,,,,
IC14,1,MCP23S17-E/SS,,MCP23S17-E/SS,,MCP23S17-E/SS-ND,,MCP23S17-E/SS,,MCP23S17-E/SS,,,,,
IC15,1,REF5025AIDR,,REF5025AIDG4,,296-39165-1-ND,,REF5025AID,,-,,,,,
IC16,1,TC77-5.0MCTTR,,TC77-5.0MCTTRCT-ND,,TC77-5.0MCTTR,,TC77-5.0MCTTR,,,,,,,
IC17,1,DAC8552IDGKR,,296-46082-1-ND,,-,,,,,,,,,
IC19,1,ADS1120IPWR,,296-37280-1-ND,,-,,,,,,,,,
IC2,1,TPS54060DGQ,,TPS54060DGQ .,,296-37148-1-ND,,TPS54060DGQ,,-,,,,,
IC20,1,LM293D,,LM293DT,,296-12848-1-ND,,LM293ADR,,LM293D-ST,,,,,
IC21,1,MAX9141ESA,,MAX9141ESA+,,MAX9141ESA+-ND,,MAX9141ESA+,,-,,,,,
"IC3, IC7",2,SI8641BB-B-IS1,,SI8641BB-B-IS1,,336-2566-ND,,Si8641BB-B-IS1,,-,,,,,
IC4,1,SN74LVC1G139DCUR,,SN74LVC1G139DCUR,,296-18203-1-ND,,-,,,,,,,
IC5,1,MC78L05,,MC78L05ABDR2G,,MC78L05ACDR2GOSCT-ND,,MC78L05ACDG,,MC78L05ACDG,,,,,
IC6,1,MC79L05,,MC79L05ACDR2G,,MC79L05ABDGOS-ND,,MC79L05ACDR2G,,MC79L05ACDG,,,,,
IC8,1,M24C32-WMN6P,,M24C32-WMN6P,,497-8644-1-ND,,M24C32-WMN6P,,M24C32-WMN6P,,,,,
